water_point,site,period_year,photo_date,image_id,days_not_operational,days_illegible,confidence,validated
699595876,Maroantsetra,2026,2026-04-21,f361c440c5064dc7a8a04d1b58dec28a,7,4,0.221,NO
699595900,Maroantsetra,2026,2026-03-19,a002abb84997473e9ce0df54c8765e8e,1,7,0.347,NO
699595955,Maroantsetra,2025,2025-12-09,3b33d8e881874a21a49270da8da9b611,0,1,0.367,NO
699595962,Maroantsetra,2025,2025-12-10,32a045052f6d45389464636447e8c5da,78,67,0.222,NO
699595979,Maroantsetra,2025,2025-12-11,057a24376d764ce688fd388977f7b8d2,10,5,0.537,NO
699595993,Maroantsetra,2025,2025-12-11,30a89a9da8bc413ab4506ca07f4983a6,6,2,0.512,NO
699596004,Maroantsetra,2025,2025-12-12,b79a4379bd084d0b8283dcc3a4107b6b,10,10,0.481,NO
699596035,Maroantsetra,2025,2025-12-11,6221d33ba52b4251b11e910e4f8fdc26,31,40,0.199,NO
699596107,Maroantsetra,2025,2025-12-20,00f4557ce5194206bc5346448d758352,12,12,0.489,NO
699596114,Maroantsetra,2025,2025-12-20,b1a14c4552414d51a2161641e6dfbfb0,22,12,0.353,NO
699596664,Maroantsetra,2025,2025-12-23,1c78b713057f4f58b6247d9a6f76c95e,19,3,0.194,NO
699596671,Maroantsetra,2025,2025-12-23,9233e758413c434aa72a5bb3094c5b84,17,8,0.365,NO
699596671,Maroantsetra,2026,2026-09-03,c9d46ec91c1346809af8e2e3e44d88f7,17,1,0.314,NO
699596695,Maroantsetra,2025,2025-12-19,e8f4d6a854854ce082cb02356aad47fa,97,66,0.214,NO
699596705,Maroantsetra,2025,2025-12-23,c3bc954a03d144df8fb50f8222863019,23,8,0.321,NO
699596712,Maroantsetra,2026,2026-01-11,4c8d06c82a034b49bcd3654b9c874748,15,3,0.283,NO
699596729,Maroantsetra,2026,2026-01-11,cfbaf6ec3628456a89d18f46d6932e27,15,1,0.428,NO
699596736,Maroantsetra,2026,2026-01-11,c0651e88db664c698de97ea8f36a58a6,38,7,0.179,NO
699596743,Maroantsetra,2026,2026-01-11,dbfcb96b14144693981464edd3034c16,15,6,0.471,NO
699596750,Maroantsetra,2026,2026-01-12,13e546f20ec3470bb453bfc6b9ae606e,12,2,0.434,NO
699596774,Maroantsetra,2026,2026-01-15,d7a26bd6d51d4c408c6924cd13cac906,27,12,0.237,NO
699596781,Maroantsetra,2026,2026-01-15,b0aa6a56c0474338a61f3562bd1af25c,16,3,0.290,NO
699596808,Maroantsetra,2026,2026-01-12,778e8173f8d84fc294132548800272d2,17,10,0.311,NO
699596877,Maroantsetra,2026,2026-01-19,d6256325eee94d1c8886876fe778ee92,28,8,0.349,NO
699596891,Maroantsetra,2026,2026-01-26,441934313d3647d7ae0b5cf26aace1a7,24,14,0.386,NO
699596901,Maroantsetra,2026,2026-01-26,c8ff19f48d4e4e1f838b613fc447126b,15,6,0.437,NO
699596918,Maroantsetra,2026,2026-01-27,ab0df0516a6e42f38e629c9faaf98e92,17,17,0.354,NO
699596925,Maroantsetra,2026,2026-01-27,a7ef06f78d4a4c8a8be41e0adbd9518e,13,10,0.368,NO
699596932,Maroantsetra,2026,2026-01-27,4e4b584d7ec74fce8c14c97daaaa75f7,29,6,0.469,NO
699596956,Maroantsetra,2026,2026-01-31,2e482cf1ef254d4c8870d0f50f55b3d8,13,7,0.326,NO
699596970,Maroantsetra,2026,2026-02-01,950eb47d4eec40dabd49914f509f5267,12,18,0.342,NO
699596994,Maroantsetra,2026,2026-02-02,a922565e0b1041968799120bca09e50d,14,8,0.352,NO
699597005,Maroantsetra,2026,2026-02-02,d4a8833d692c4370929b137702f6f0d9,16,5,0.436,NO
699597012,Maroantsetra,2026,2026-02-12,11d2e88ee4a64cceae8befc3b54ed2a9,70,30,0.094,NO
699597029,Maroantsetra,2026,2026-02-10,946681b2f70b4b58a62bebeae0842c94,3,101,0.264,NO
699597043,Maroantsetra,2026,2026-02-03,6b5bcd097c1a46bbb9c96e8b32636078,17,3,0.360,NO
699597050,Maroantsetra,2026,2026-02-12,ea75391f09f94a3890b6aca54f562d3e,12,179,0.088,NO
699597067,Maroantsetra,2026,2026-02-11,5078abb903b5472f8d570bc92139c6d6,6,63,0.201,NO
699597081,Maroantsetra,2026,2026-02-03,9f66b58ac77a461baa8ef92b69e21a59,11,9,0.420,NO
